#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-18T12:49:45 [V7.5.8]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-18T12:49:45	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-c=Hyades&-c.eq=J2000&-c.r=  4&-c.u=arcmin&-c.geom=r&-out.src=I/350/gaiaedr3&-source=I/350/gaiaedr3&-out.orig=standard&-out=Plx&-out=e_Plx&-out=PM&-out=Gmag&-out=e_Gmag&-out=BP-RP&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.8	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	-c=067.447083+16.948056,rm=4.	
#Constraint -bmark=POST

#RESOURCE=yCat_1350
#Name: I/350
#Title: Gaia EDR3 (Gaia Collaboration, 2020)
#INFO	ivoid=ivo://cds.vizier/i/350	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/350	    IVOID of underlying data collection
#INFO	creator=Gaia collaboration	    First author or institution
#INFO	cites=bibcode:2021A&A...649A...1G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/350	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.1350	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-02-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	I_350_gaiaedr3:
#Name: I/350/gaiaedr3
#Title: GaiaSource EDR3 data
#Column	_r	(F6.4)	Distance from center (067.44708333000+16.94805556000)[ICRS], at Epoch=J2016.0	[ucd=pos.angDistance]
#Column	_RAJ2000	(F17.13)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F17.13)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax of the source at the Ep=2016.0 (parallax)	[ucd=pos.parallax.trig]
#Column	e_Plx	(F7.4)	? Standard error of the stellar parallax at Ep=2016.0 (parallax_error)	[ucd=stat.error;pos.parallax.trig]
#Column	PM	(F9.3)	? Total proper motion (pm) (6)	[ucd=pos.pm;pos.eq]
#Column	Gmag	(F9.6)	? G-band mean magnitude (Vega) (phot_g_mean_mag) (34)	[ucd=phot.mag;em.opt]
#Column	e_Gmag	(F9.6)	? Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error) (G1)	[ucd=stat.error;phot.mag;stat.mean]
#Column	BP-RP	(F9.6)	? BP-RP colour (photBpMeanMag - photRpMeanMag) (bp_rp)	[ucd=phot.color;em.opt.B;em.opt.R]
r(arcmin);RAJ2000(deg);DEJ2000(deg);Plx(mas);e_Plx(mas);PM(mas/yr);Gmag(mag);e_Gmag(mag);BP-RP(mag)
2.0074;067.4803456155027;+16.9583808270219;    0.3450; 0.0301;    2.425;15.129680; 0.002775; 0.779586
2.0373;067.4420476391582;+16.9144451795025;   -1.2956; 0.7104;    0.581;20.445923; 0.006522; 1.092279
2.0917;067.4327989258775;+16.9159813184202;   -0.7253; 0.6082;    1.637;20.130350; 0.005866; 0.792780
2.1562;067.4723350196298;+16.9214915468821;    0.8924; 0.0617;    8.026;16.691620; 0.002814; 1.448904
2.1991;067.4617300621369;+16.9819563639670;    0.6705; 0.2259;    7.615;18.933002; 0.003599; 2.297049
2.2439;067.4299663827944;+16.9144286473187;    0.7861; 0.1419;    4.204;18.181412; 0.003094; 2.063305
2.2504;067.4500025231147;+16.9107090652945;    0.9221; 0.1578;   13.522;18.271984; 0.003104; 1.868818
2.2680;067.4274467330650;+16.9153518600775;    2.0388; 0.0419;   25.269;15.792753; 0.002787; 1.783067
2.2733;067.4863789218200;+16.9434112337728;    0.3508; 0.0715;    4.210;17.056704; 0.002847; 1.235186
2.2781;067.4778725048576;+16.9240789879657;    0.9715; 0.5949;    2.867;20.322489; 0.005752; 2.432495
2.2918;067.4773306717233;+16.9730241782653;    1.9213; 0.5391;    7.659;19.947954; 0.005048; 2.350393
2.3112;067.4327803258501;+16.9840705598618;    0.3685; 0.0313;    2.678;15.334247; 0.002772; 1.428499
2.3287;067.4429020947578;+16.9094773567219;    1.0564; 0.0706;    9.330;16.844183; 0.002842; 1.843850
2.3435;067.4289201219408;+16.9130952682112;    0.3136; 0.9936;    5.160;20.603466; 0.007973; 2.067938
2.3440;067.4062158689545;+16.9462277739050;    1.6240; 0.3409;   16.339;19.524893; 0.004215; 2.614197
2.3467;067.4866170073115;+16.9381316290485;    2.1347; 0.3795;    3.288;19.150818; 0.003626; 2.069159
2.3496;067.4781458089018;+16.9735786087824;    0.0509; 0.3489;    4.989;19.503746; 0.004167; 1.400587
2.3777;067.4684022741579;+16.9141034311139;    0.7159; 0.5421;    5.106;20.070143; 0.005190; 2.471785
2.4048;067.4874041655042;+16.9375477532074;    7.1718; 0.0396;   27.390;14.559795; 0.003033; 2.167727
2.4277;067.4147433304081;+16.9219958930659;    0.1397; 1.2523;    2.491;20.777030; 0.011839; 0.747421
2.4656;067.4892414252232;+16.9559292617394;    1.9865; 0.0190;    3.947;14.154315; 0.002762; 1.239893
2.4716;067.4571295742904;+16.9881176457778;    0.3323; 0.2274;    2.365;18.924423; 0.003529; 1.264204
2.4924;067.4373598317656;+16.9885378045516;    0.4285; 0.2291;    2.680;18.882032; 0.003462; 1.525946
2.5080;067.4674943275951;+16.9111026038534;   -0.5454; 0.2500;    1.370;19.047607; 0.003535; 1.061392
2.5091;067.4907559857701;+16.9462893489043;    0.9097; 0.5774;    2.061;20.172556; 0.005132; 1.398785
2.5117;067.4404230195067;+16.9894446208917;    0.6222; 1.3565;    3.499;20.760218; 0.010874; 0.921698
2.5311;067.4907849814859;+16.9537499534266;   -0.2097; 1.0283;    1.447;20.484446; 0.007197; 1.531807
2.5387;067.4615343966236;+16.9080693204522;    0.0398; 0.3004;    0.637;19.267044; 0.003788; 0.985828
2.5489;067.4060298100551;+16.9642803916849;    0.8955; 0.6059;    2.292;20.253971; 0.006015; 1.586193
2.5511;067.4844364370648;+16.9250398107563;    0.1376; 0.1417;    3.375;18.208930; 0.003066; 1.295977
2.5566;067.4624431773318;+16.9080917083654;    0.4149; 0.0843;    6.934;17.164661; 0.002877; 1.317568
2.6071;067.4444398819463;+16.9914401252750;    0.0915; 0.0936;    1.469;17.507128; 0.002922; 1.375566
2.6518;067.4925424756286;+16.9401209389613;   -0.2939; 0.2488;    2.913;19.013899; 0.003635; 1.261751
2.6577;067.4291372704539;+16.9072775840218;    1.6737; 0.3075;   14.623;19.323994; 0.003866; 2.516350
2.6781;067.4238312968365;+16.9093758506701;    0.8195; 0.0311;    5.756;15.262737; 0.002772; 1.127676
2.6921;067.4369102860457;+16.9042702089542;    0.9581; 0.0755;    3.372;16.953028; 0.002845; 1.483005
2.7373;067.4941309737320;+16.9554765198165;    0.5352; 0.2935;    2.438;19.253496; 0.003895; 1.500112
2.7414;067.4775295282369;+16.9128581625366;    0.0811; 0.1487;    1.213;18.149103; 0.003077; 1.150366
2.7488;067.4526382619339;+16.9025599332298;    0.0672; 0.1937;    1.927;18.731415; 0.003358; 1.330797
2.8029;067.4954964186010;+16.9419576227084;    0.2196; 0.6192;    1.389;20.127870; 0.006000; 1.220598
2.8155;067.4743468364308;+16.9090478210257;    0.7257; 0.3331;    2.120;19.454144; 0.003960; 2.171021
2.8348;067.4643054010036;+16.9037844083978;    0.3101; 0.2099;    1.945;18.773247; 0.003335; 1.228273
2.8480;067.4602236195543;+16.9022745865644;    0.8104; 0.0524;    4.049;16.369322; 0.002805; 1.313701
2.8553;067.4345598916221;+16.9020018273494;    0.1325; 0.2331;    1.087;18.934246; 0.003423; 1.057921
2.8596;067.4718523961962;+16.9894087659209;    0.7509; 0.8408;    2.137;20.456137; 0.007021; 1.197580
2.8796;067.4852664148794;+16.9791713591013;    0.9187; 0.0315;    3.207;15.339148; 0.002771; 1.159880
2.8800;067.4439180874629;+16.9001392585377;    1.2989; 0.3263;    5.185;19.395634; 0.003966; 2.129772
2.8861;067.4845397469622;+16.9801399906770;   -0.0786; 0.3611;    2.012;19.261814; 0.005358; 1.878315
2.8943;067.4848806572733;+16.9799776071497;    0.6943; 0.4093;    2.133;19.267185; 0.004201; 1.637203
2.8965;067.4822477195856;+16.9140506530824;   22.7265; 0.0174;  114.138;11.965812; 0.002848; 2.199377
2.8975;067.4969537972892;+16.9555431453361;   -0.6880; 0.5357;    0.827;20.042921; 0.005155; 1.094860
2.9254;067.4391954731406;+16.9962375654755;    0.2168; 0.0766;    2.990;17.064354; 0.002844; 1.127598
2.9476;067.4205863455738;+16.9902008544037;    0.2643; 0.3521;   12.780;19.500069; 0.003994; 2.002918
2.9555;067.4306183438207;+16.9013788065072;    0.3119; 0.2360;    1.034;18.806633; 0.003366; 1.318714
2.9925;067.4583967936989;+16.9967357598912;   -0.3516; 0.6962;    5.611;20.299652; 0.006072; 2.356428
2.9931;067.4701528922898;+16.9033317546418;    0.0768; 0.4814;    3.379;19.905695; 0.004944; 0.977203
3.0280;067.4033764448728;+16.9763533419656;    0.5370; 0.3300;    4.452;19.469822; 0.003998; 2.222542
3.1175;067.4994758548820;+16.9343717989857;    0.1516; 0.0841;    1.569;17.329893; 0.002867; 1.473944
3.1724;067.4496209810504;+17.0008777704251;    0.2784; 0.3511;    2.003;19.540466; 0.004019; 1.042048
3.1755;067.3923540316930;+16.9558922057033;    0.2730; 0.0494;    2.137;16.260400; 0.002792; 1.288220
3.2356;067.3912051337762;+16.9409089998431;   -0.7012; 0.5679;    2.668;20.179882; 0.005463; 1.232014
3.2543;067.4374491757798;+17.0017324752756;    1.7494; 1.4698;   50.359;20.809590; 0.010733; 2.109920
3.2725;067.4064594629667;+16.9097729810995;    0.2871; 0.3123;    6.187;19.329441; 0.003945; 1.717316
3.2753;067.4427658661037;+17.0024907640749;    1.4534; 0.1110;    9.779;17.664152; 0.002917; 2.266518
3.2818;067.4592966979378;+16.8946697488329;    1.0175; 0.0754;   11.031;17.132900; 0.002849; 1.543241
3.2879;067.4036009151300;+16.9837383640386;    0.1840; 0.1544;    1.517;18.379261; 0.003090; 1.009220
3.2882;067.4358050262496;+16.8943258791691;    0.6017; 0.1960;    3.554;18.602251; 0.003295; 1.290049
3.2942;067.4707675328769;+16.9980632722513;   -1.1936; 0.9781;    1.377;20.643980; 0.008486; 1.400783
3.3182;067.3954290891040;+16.9729055065225;   -1.7139; 1.8078;    2.035;20.840927; 0.012423; 0.964481
3.3389;067.4727140130992;+16.9980174250687;    0.7636; 0.6049;    2.937;20.206446; 0.005565; 1.406162
3.3732;067.3926288237200;+16.9269025049869;   -0.1050; 0.4402;    0.799;19.834330; 0.005030; 1.424585
3.4071;067.4392591312748;+16.8917695053462;    1.2432; 0.3712;    0.858;19.590618; 0.004335; 1.870567
3.4225;067.3877325420761;+16.9425082437158;    0.4839; 0.2781;    1.086;19.198143; 0.003721; 1.226044
3.4277;067.5004056755633;+16.9224036523849;    0.9684; 0.0577;    7.101;16.463964; 0.002799; 1.459879
3.4606;067.3924376892325;+16.9236364708370;    0.1599; 0.1296;    5.077;18.039448; 0.003037; 1.290854
3.4616;067.4786065989568;+16.9972676778863;    0.7846; 0.6192;    4.551;20.174698; 0.005875; 1.027122
3.5008;067.4951971905844;+16.9122011270623;   -1.1525; 1.3667;    1.786;20.670876; 0.007698; 1.658993
3.5351;067.5063409753532;+16.9641192146285;    0.4770; 0.0652;    0.924;16.882818; 0.002834; 1.357635
3.5436;067.5065896577204;+16.9323172523490;    0.1998; 0.3490;    0.755;19.555954; 0.004170; 1.140400
3.5474;067.4992283421677;+16.9798029828033;    0.3444; 0.2636;    1.293;19.155413; 0.003634; 1.159904
3.6363;067.3927081844680;+16.9791932223719;    0.5860; 0.8581;    3.066;20.432240; 0.007863; 2.110388
3.6428;067.3890255873773;+16.9726006790260;    0.4605; 0.6288;    0.913;20.207340; 0.005806; 1.643515
3.6437;067.4473432703064;+16.8873998566499;    1.0432; 0.3797;   22.397;19.620367; 0.004333; 2.200247
3.6598;067.4844697332693;+16.8986480751720;    0.1102; 0.1642;    1.475;18.419277; 0.003133; 1.166666
3.6682;067.3840031823593;+16.9579021877662;    0.3499; 0.4928;    1.227;19.931023; 0.005146; 0.989849
3.6768;067.4953086000839;+16.9884304237846;   -0.4325; 0.8157;    6.062;20.326042; 0.006271; 1.882536
3.7217;067.3883608328943;+16.9743860200471;    0.6905; 0.6730;    2.747;20.444597; 0.006234; 1.843157
3.7373;067.3871584478594;+16.9724484946212;    0.2435; 0.2311;    1.907;18.986885; 0.003358; 1.115740
3.7529;067.3846035358667;+16.9665191253892;    0.1398; 0.4084;    0.774;19.696440; 0.004096; 1.091860
3.7852;067.5039759811179;+16.9161593298723;    0.0634; 0.1943;    1.176;18.690968; 0.003357; 1.225874
3.8069;067.4361915960077;+17.0106479278547;    0.1355; 0.3635;    1.128;19.612377; 0.004175; 0.961514
3.8282;067.3969815581012;+16.9902289235826;    0.7658; 0.1985;    7.362;18.664083; 0.003286; 1.991245
3.8441;067.3912859401113;+16.9126178911083;    0.7806; 0.0491;    4.120;16.203405; 0.002789; 1.311853
3.8461;067.3939837781868;+16.9872131995381;   -0.2523; 0.3074;    6.553;19.348944; 0.003991; 1.098030
3.8464;067.5140252195592;+16.9501856689317;    1.6047; 0.0121;   10.247;12.446191; 0.002764; 0.949589
3.8520;067.4359810455115;+17.0113742356447;    0.4699; 0.3952;    0.648;19.695719; 0.004361; 1.407755
3.8523;067.3799968305533;+16.9507887032887;    0.8405; 0.1694;    7.217;18.462072; 0.003194; 1.880276
3.8525;067.5001650140683;+16.9088370469366;    1.8429; 0.5853;   10.148;19.995737; 0.005124; 2.191589
3.8777;067.3824504218125;+16.9292201118139;    2.5966; 0.6498;    8.923;20.243103; 0.005541; 2.216589
3.8862;067.3805926079000;+16.9357301977985;    0.9824; 0.0389;    4.504;13.973712; 0.002770; 1.071040
3.9172;067.3922380172596;+16.9869313678909;   -0.2780; 0.2392;    1.455;19.006132; 0.003457; 1.410820
3.9202;067.4992171998855;+16.9058905282131;    0.2830; 0.1458;    6.228;18.197626; 0.003073; 1.347410
3.9727;067.3804150030897;+16.9660081476303;    1.3338; 0.0162;    8.192;13.709868; 0.002760; 1.250723
3.9793;067.3997003000183;+16.9964769946981;    2.1578; 1.8776;    1.254;20.797031; 0.012774; 0.748816

