#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-17T09:46:22 [V7.5.8]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-17T09:46:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-c=M45&-c.eq=J2000&-c.r=  5&-c.u=arcmin&-c.geom=r&-out.src=I/350/gaiaedr3&-source=I/350/gaiaedr3&-out.orig=standard&-out=Plx&-out=e_Plx&-out=PM&-out=Gmag&-out=e_Gmag&-out=BP-RP&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.8	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	-c=056.600833+24.113889,rm=5.	
#Constraint -bmark=POST

#RESOURCE=yCat_1350
#Name: I/350
#Title: Gaia EDR3 (Gaia Collaboration, 2020)
#INFO	ivoid=ivo://cds.vizier/i/350	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/i/350	    IVOID of underlying data collection
#INFO	creator=Gaia collaboration	    First author or institution
#INFO	cites=bibcode:2021A&A...649A...1G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2021	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/I/350	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.1350	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-02-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	I_350_gaiaedr3:
#Name: I/350/gaiaedr3
#Title: GaiaSource EDR3 data
#Column	_r	(F6.4)	Distance from center (056.60083333000+24.11388889000)[ICRS], at Epoch=J2016.0	[ucd=pos.angDistance]
#Column	_RAJ2000	(F17.13)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F17.13)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	Plx	(F10.4)	? Absolute stellar parallax of the source at the Ep=2016.0 (parallax)	[ucd=pos.parallax.trig]
#Column	e_Plx	(F7.4)	? Standard error of the stellar parallax at Ep=2016.0 (parallax_error)	[ucd=stat.error;pos.parallax.trig]
#Column	PM	(F9.3)	? Total proper motion (pm) (6)	[ucd=pos.pm;pos.eq]
#Column	Gmag	(F9.6)	? G-band mean magnitude (Vega) (phot_g_mean_mag) (34)	[ucd=phot.mag;em.opt]
#Column	e_Gmag	(F9.6)	? Standard error of G-band mean magnitude (Vega) (added by CDS) (phot_g_mean_mag_error) (G1)	[ucd=stat.error;phot.mag;stat.mean]
#Column	BP-RP	(F9.6)	? BP-RP colour (photBpMeanMag - photRpMeanMag) (bp_rp)	[ucd=phot.color;em.opt.B;em.opt.R]
_r;_RAJ2000;_DEJ2000;Plx;e_Plx;PM;Gmag;e_Gmag;BP-RP
2.9094;056.5482175432775;+24.1205819152083;    1.6882; 1.0004;    1.202;20.663456; 0.010644; 1.096809
2.9505;056.5887003836111;+24.0659773847005;    0.0287; 0.2656;    2.950;18.847113; 0.003574; 1.400429
3.0299;056.5629555987629;+24.0770961110541;    0.5033; 0.1187;    2.951;17.577492; 0.002943; 1.249178
3.0365;056.5844052633341;+24.1622282551495;    0.1508; 0.1518;    1.095;18.217577; 0.003268; 1.003140
3.1584;056.5432953067606;+24.1099865119270;    0.7345; 0.7257;    5.283;20.198822; 0.006354; 1.584328
3.1654;056.6577705145515;+24.1228754316667;    0.5732; 0.1028;    4.301;17.258974; 0.002931; 1.268110
3.1966;056.5919957578129;+24.0613620687477;    2.2553; 0.3852;   32.490;19.237236; 0.003987; 2.754101
3.2009;056.5579808286767;+24.0776159093699;    0.5158; 1.1979;    6.862;20.629637; 0.008787; 2.624098
3.2349;056.6163942276883;+24.0619117076281;    2.5331; 1.2580;    7.174;20.536438; 0.008250; 1.980028
3.2568;056.5426018822634;+24.1028222745236;    0.1407; 0.2642;    3.170;18.919584; 0.003617; 1.312075
3.2716;056.5476175749543;+24.0891202747770;    0.4007; 0.0593;   13.837;16.499601; 0.002807; 1.109385
3.3856;056.5393232315910;+24.1195895953008;    0.0212; 0.1603;    0.795;18.223827; 0.003241; 1.104788
3.4021;056.5790819455624;+24.1670353565252;    0.4572; 0.3800;   10.528;19.527916; 0.004784; 2.148891
3.4170;056.5456233038868;+24.0873720743825;    1.1608; 0.9824;    0.992;20.580801; 0.009052; 1.252861
3.4426;056.6208397771641;+24.0595402115000;    0.3764; 0.8115;    9.861;20.160606; 0.006571; 1.677473
3.4734;056.6501906887848;+24.1502491349910;    0.1406; 0.1927;    1.824;18.236301; 0.003198; 1.067864
3.5201;056.6638895885105;+24.1032031968032;    7.3609; 0.0205;   51.235; 9.199545; 0.002764; 0.622580
3.6019;056.5540185199112;+24.1560511968370;    1.6611; 0.0793;    1.746;16.961042; 0.002876; 1.815479
3.7497;056.6680785627807;+24.1021430675417;    3.2983; 1.0493;    1.811;20.485933; 0.009423; 1.978298
3.7573;056.6694501621933;+24.1138354350193;    0.0171; 0.5690;    3.313;19.758469; 0.005508; 1.500155
3.7599;056.6692640049699;+24.1092941417321;    1.0939; 0.3895;   10.602;19.185705; 0.004549; 2.481966
3.7735;056.6629737313722;+24.0867982204510;    0.8716; 0.5722;    8.758;19.724026; 0.005176; 1.915026
3.7828;056.6062807013812;+24.1767403856484;    0.1667; 0.4053;    1.301;19.423168; 0.004582; 1.562813
3.8285;056.5592741053605;+24.1652271147370;    1.1673; 0.2890;    4.436;19.042055; 0.004023; 2.298748
3.8372;056.5909599005119;+24.0505782114949;    0.5221; 0.6328;    1.138;19.986322; 0.005560; 1.254806
3.8470;056.5408434974997;+24.1473233462666;    0.6882; 0.2360;    8.044;18.852379; 0.003466; 1.693731
3.8639;056.5464291287852;+24.0728921597258;    0.3660; 0.3559;    1.782;19.142721; 0.003811; 1.396130
3.8904;056.5618238367538;+24.0597056817072;    0.1492; 0.1535;    4.115;18.003435; 0.003078; 1.267855
3.9123;056.5298269673420;+24.1065860128645;    0.8890; 0.2764;    4.398;18.898550; 0.003846; 2.211607
3.9173;056.5301054455484;+24.1031247802872;    4.5470; 0.4558;   98.816;19.565310; 0.004844; 2.579292
3.9552;056.5582867852321;+24.0606214579448;    1.0237; 3.4834;    2.607;20.838220; 0.018088; 1.893230
3.9574;056.5287289703842;+24.1094917786531;    0.2099; 0.0849;    5.307;17.024880; 0.002890; 1.114847
3.9639;056.6052343141551;+24.1798312912053;    0.2724; 0.1107;    2.553;17.630293; 0.003024; 1.211382
3.9642;056.5969354584953;+24.1798741239775;    0.4227; 0.0518;   10.419;16.376932; 0.002811; 1.241252
3.9813;056.6242576367756;+24.1767169092904;    0.8683; 0.1529;    2.313;17.938614; 0.003069; 1.682806
3.9907;056.6629340470760;+24.0792391222241;    2.3676; 0.7055;   19.294;19.892742; 0.006217; 2.400215
4.0001;056.5277283338427;+24.1120762142252;    1.0283; 0.0597;   31.671;16.275990; 0.002819; 1.423712
4.0053;056.6739544145382;+24.1136110899620;    1.3646; 0.7364;    4.719;19.965010; 0.006146; 2.315807
4.0174;056.6741699733186;+24.1118777943245;    1.1801; 0.4586;    6.423;19.394691; 0.004616; 1.766018
4.0329;056.6165661947928;+24.1795678220054;    0.8349; 0.0532;    6.553;16.208105; 0.002809; 1.311708
4.0687;056.6492949347495;+24.1653018426120;    0.3680; 0.0377;    2.264;15.457298; 0.002782; 1.354237
4.0892;056.6489113622599;+24.0617887101326;    0.6487; 0.1608;    6.644;17.691513; 0.003016; 1.599468
4.1204;056.6328227915757;+24.1760425366522;    0.5533; 0.3055;    2.515;18.974010; 0.003744; 1.467701
4.1333;056.6577108581487;+24.1591652215871;    0.9378; 0.6674;    9.436;19.720220; 0.005438; 2.679134
4.1519;056.5542950926565;+24.0592897979208;    0.4497; 0.2505;    4.049;18.741142; 0.003487; 1.354960
4.1760;056.6398080825916;+24.1737574806839;    1.3260; 0.2405;   13.851;18.313072; 0.004114; 1.678930
4.2335;056.5297471085455;+24.1417087850614;    0.8489; 0.0233;    9.119;14.549497; 0.002765; 1.046060
4.2770;056.5312307012749;+24.0814226256170;    2.0540; 0.5464;   15.098;19.925806; 0.005567; 2.495325
4.2844;056.5374098066254;+24.0725682042573;    4.5191; 0.0171;   87.001;13.729893; 0.002760; 1.474544
4.2939;056.6706469053768;+24.0812849010913;    3.4003; 0.2527;    5.484;18.437263; 0.003398; 2.586639
4.3007;056.5643633793876;+24.0504689604081;    0.7071; 0.6607;   11.756;19.878717; 0.005481; 2.345140
4.3035;056.5547761875157;+24.0557927664974;    1.0316; 0.9993;    3.125;20.266155; 0.007566; 1.580681
4.3202;056.6311074766692;+24.1804656457754;    1.2228; 0.0783;   17.400;16.849108; 0.002872; 1.573364
4.3405;056.6799442179730;+24.1126262421852;    1.3942; 0.3866;   30.294;19.162207; 0.004526; 2.997629
4.3425;056.5271339992230;+24.1406646557312;    0.9175; 1.7238;    5.356;20.679775; 0.012500; 1.690165
4.3575;056.6721158948933;+24.1461747561852;    0.4971; 0.1019;    0.523;17.168018; 0.002921; 1.147917
4.3909;056.5662453411363;+24.0479100924382;    3.1386; 0.4904;   12.732;19.459656; 0.004865; 2.658798
4.3953;056.6116588495336;+24.0413059263668;    0.2175; 1.1212;    1.193;20.295393; 0.007592; 0.544970
4.4153;056.5456667460788;+24.0602275839308;    1.8073; 0.0188;   10.664;13.701928; 0.002762; 1.065677
4.4156;056.5536151497229;+24.0543761825994;    7.3325; 0.0188;   51.135;13.603668; 0.003526; 1.811161
4.4199;056.5201685821055;+24.1164102033577;    0.0814; 0.1815;    0.795;18.402271; 0.003243; 0.980581
4.4279;056.6376425002129;+24.1796088140317;    0.1798; 0.2457;    3.427;18.689123; 0.003510; 1.266710
4.4626;056.6499640487540;+24.0545458099709;    1.7099; 0.6350;    4.007;19.660670; 0.005320; 2.781204
4.4725;056.6217170903687;+24.0418521315195;    1.2293; 0.0387;    6.223;15.308088; 0.002774; 1.177564
4.4891;056.5259752421732;+24.1444129327882;    0.4277; 0.9934;    4.582;20.590040; 0.008431; 1.724861
4.4954;056.6432146116972;+24.0497289765412;    0.0742; 0.6624;    1.605;19.872458; 0.005352; 1.037199
4.5101;056.6395071750820;+24.1802568393912;    0.5983; 0.1427;    1.512;17.893225; 0.003092; 1.393152
4.5313;056.6632564389402;+24.1635033194201;    0.2702; 0.3107;    4.584;18.843840; 0.003867; 1.586929
4.5331;056.5902265765305;+24.0389652828273;    0.1540; 0.0451;    1.310;14.948977; 0.002771; 1.433452
4.5358;056.5605997223674;+24.0478250726011;    0.9573; 0.4259;    1.833;19.487543; 0.004474; 1.116087
4.5730;056.6727821684063;+24.0753073244246;    0.2555; 0.3954;   11.291;19.015600; 0.003957; 1.573547
4.5955;056.6840273166529;+24.1238479127068;    0.4156; 1.0666;    4.755;20.281076; 0.007995; 1.621351
4.6764;056.5387496492655;+24.0603798508379;    0.6490; 0.3933;    4.715;19.322456; 0.004245; 1.991335
4.7117;056.5174174812057;+24.1332512266197;    1.0889; 0.6261;    6.378;20.009163; 0.006182; 1.385132
4.8006;056.5823279229672;+24.0356940239150;    0.6888; 0.0172;    2.908;13.213815; 0.002806; 0.753264
4.8159;056.6745695209189;+24.1576516106444;    1.0020; 0.8866;    4.679;20.074356; 0.007361; 1.113638
4.8188;056.5173066564250;+24.0886471269202;    0.4000; 0.1466;    1.099;18.095467; 0.003108; 1.025494
4.8515;056.6680478924309;+24.0612979271519;    1.2089; 0.0329;    9.825;14.651751; 0.002774; 1.064588
4.9010;056.5666860961975;+24.1896571738597;    7.3954; 0.0448;   54.166; 9.408872; 0.003573; 0.403328
4.9025;056.6366221939503;+24.0390800157683;    0.9875; 0.4870;   22.964;19.333574; 0.004457; 2.590090
4.9030;056.5320909505428;+24.0616165577627;    7.8169; 0.0175;   37.419;10.474504; 0.002763; 0.822030
4.9175;056.5666815781567;+24.1899229611070;    7.3992; 0.0327;   47.951; 8.228746; 0.002836; 0.444091
4.9178;056.5145848456554;+24.0909588539607;    1.5631; 0.1151;   13.062;17.614532; 0.002946; 2.013660
4.9234;056.5111481946507;+24.1198680644487;    0.8607; 0.1889;    5.356;18.355003; 0.003252; 1.405771
4.9597;056.6909197416882;+24.1054873875202;    0.3067; 0.0552;    4.188;16.079212; 0.002814; 1.239113
4.9642;056.5107132718665;+24.1049297688790;    0.5103; 0.2433;    1.875;18.872380; 0.003669; 1.234121
4.9675;056.5109175835415;+24.1252781806678;    1.1473; 0.4502;   15.298;19.308384; 0.005055; 2.558506
4.9798;056.5112118249292;+24.1283894788415;    1.8773; 0.7661;   17.688;20.333890; 0.007583; 2.340235
4.9823;056.6022452143978;+24.1969212667694;    1.1380; 0.4095;    2.800;19.381740; 0.004414; 2.138577
4.9877;056.6818096316542;+24.0760000661250;    0.6957; 0.1516;   15.491;17.904177; 0.003192; 1.671896
4.9901;056.5557515493171;+24.0416206023465;    0.8164; 1.3789;    5.681;20.727726; 0.011671; 0.408096
4.9911;056.5145786996409;+24.0870957602755;    1.1236; 0.0639;    4.736;16.571363; 0.002846; 1.491902
4.9911;056.5977771188613;+24.0309437998225;    7.3730; 0.0889;   48.209;16.894072; 0.003085; 3.072560

